year,estratopri,ur,sexo_std,etid,wealth,wc1,wc2,wc3,l1,pn4,eff1,eff2,cp6,cp13,colcp8a,prot3,exc13,exc14,exc15,exc16,exc18,exc20,exc07
2004,Bogotá D.C.,Urbano,Hombre,Mestiza,4,No,No,No,,Satisfecho(a),,,Una vez a la semana,Nunca,Nunca,,,,,,,,Algo generalizada
2004,Orinoquía-Amazonía,Rural,Mujer,Mestiza,2,No,No,No,,Satisfecho(a),,,Una vez a la semana,Una o dos veces al año,Nunca,,,,,No,,,Algo generalizada
2004,Caribe,Urbano,Mujer,Mestiza,4,No,No,No,,Satisfecho(a),,,Una vez a la semana,Nunca,Una o dos veces al año,,No,No,Sí,,,,Poco generalizada
2004,Andina,Rural,Mujer,Mestiza,3,No,No,No,,Insatisfecho(a),,,Una vez a la semana,Nunca,Una vez a la semana,,,,,,,,Muy generalizada
2004,Caribe,Urbano,Hombre,Mestiza,Más rico,Sí,No,No,,Satisfecho(a),,,Nunca,Nunca,Una o dos veces al mes,,No,,,No,,,Algo generalizada
2004,Caribe,Rural,Hombre,Blanca,2,No,No,No,,Insatisfecho(a),,,Una vez a la semana,Nunca,Una o dos veces al mes,,No,,No,,,,Poco generalizada
2004,Orinoquía-Amazonía,Rural,Mujer,Mestiza,2,No,No,No,,Satisfecho(a),,,Nunca,Una o dos veces al año,Una o dos veces al mes,,,,No,No,,,Muy generalizada
2004,Andina,Urbano,Mujer,Blanca,Más rico,No,Sí,Sí,,Muy satisfecho(a),,,Nunca,Nunca,Nunca,,,,,,,,Muy generalizada
2004,Orinoquía-Amazonía,Urbano,Hombre,Mestiza,Más rico,No,No,No,,Muy satisfecho(a),,,Nunca,Nunca,Nunca,,,,,,,,Muy generalizada
2004,Andina,Rural,Mujer,Blanca,2,No,No,No,,Insatisfecho(a),,,Nunca,Nunca,Nunca,,No,,No,No,,,Algo generalizada
2004,Bogotá D.C.,Urbano,Mujer,Mestiza,Más rico,No,No,No,,Satisfecho(a),,,Nunca,Nunca,Nunca,,,,,,,,Muy generalizada
2004,Pacífica,Rural,Mujer,Negra,4,No,No,No,,Insatisfecho(a),,,Nunca,Una o dos veces al año,Nunca,,,No,Sí,,,,Algo generalizada
2004,Pacífica,Urbano,Mujer,Negra,2,No,No,No,,Satisfecho(a),,,Nunca,Nunca,Nunca,,,,,No,,,Poco generalizada
2004,Orinoquía-Amazonía,Urbano,Hombre,Mestiza,3,No,No,No,,Satisfecho(a),,,Nunca,Nunca,Nunca,,No,,,,,,Muy generalizada
2004,Caribe,Urbano,Mujer,Mestiza,2,No,No,No,,Satisfecho(a),,,Nunca,Nunca,Nunca,,,,,,,,Algo generalizada
2004,Orinoquía-Amazonía,Rural,Mujer,Blanca,Menos rico,No,No,No,,Satisfecho(a),,,Una vez a la semana,Nunca,Nunca,,No,,,,,,Muy generalizada
2004,Bogotá D.C.,Urbano,Mujer,Mestiza,Más rico,No,No,Sí,,Satisfecho(a),,,Nunca,Nunca,Nunca,,,,,,,,Algo generalizada
2004,Andina,Urbano,Mujer,Mestiza,3,No,No,No,,Satisfecho(a),,,Nunca,Nunca,Nunca,,,,No,,,,Muy generalizada
2004,Andina,Urbano,Hombre,Blanca,Más rico,No,No,No,,Insatisfecho(a),,,Una vez a la semana,Nunca,Nunca,,No,,,No,,,Muy generalizada
2004,Andina,Urbano,Mujer,Blanca,2,Sí,Sí,Sí,,Muy satisfecho(a),,,Nunca,Nunca,Nunca,,Sí,,,,,,Algo generalizada
2004,Bogotá D.C.,Urbano,Mujer,Blanca,Más rico,No,No,No,,Insatisfecho(a),,,Una o dos veces al año,Nunca,Nunca,,No,,,,,,Algo generalizada
2004,Caribe,Urbano,Mujer,Mestiza,3,No,No,No,,Muy insatisfecho(a),,,Una o dos veces al año,Nunca,Nunca,,,,No,,,,Muy generalizada
2004,Orinoquía-Amazonía,Rural,Mujer,Blanca,2,Sí,No,No,,Insatisfecho(a),,,Nunca,Nunca,Nunca,,,,No,No,,,Algo generalizada
2004,Caribe,Urbano,Mujer,Blanca,Menos rico,No,No,No,,,,,Una vez a la semana,Una o dos veces al año,Nunca,,,,,,,,
2004,Bogotá D.C.,Urbano,Hombre,Blanca,3,Sí,Sí,No,,Insatisfecho(a),,,Una vez a la semana,Una o dos veces al año,Nunca,,No,,No,No,,,Algo generalizada
2004,Orinoquía-Amazonía,Urbano,Hombre,Blanca,3,No,No,No,,Muy insatisfecho(a),,,Nunca,Una o dos veces al año,Nunca,,No,,,No,,,Muy generalizada
2004,Caribe,Rural,Hombre,Blanca,2,No,No,No,,Satisfecho(a),,,Nunca,Nunca,Nunca,,,,,No,,,Poco generalizada
2004,Caribe,Rural,Hombre,Blanca,2,No,No,No,,Satisfecho(a),,,Nunca,Nunca,Nunca,,No,,,No,,,Algo generalizada
2004,Andina,Urbano,Hombre,Mestiza,Menos rico,No,No,No,,Insatisfecho(a),,,Una o dos veces al año,Nunca,Nunca,,,,Sí,,,,Muy generalizada
2004,Andina,Urbano,Mujer,Blanca,Menos rico,No,No,No,,Insatisfecho(a),,,Una vez a la semana,Nunca,Nunca,,,,No,,,,
2004,Caribe,Rural,Mujer,Blanca,Menos rico,No,No,No,,Insatisfecho(a),,,Una o dos veces al mes,Nunca,Una o dos veces al mes,,No,,,,,,Muy generalizada
2004,Caribe,Rural,Mujer,Mestiza,Menos rico,No,No,No,,Satisfecho(a),,,Nunca,Nunca,Nunca,,,,,,,,Algo generalizada
2004,Orinoquía-Amazonía,Urbano,Mujer,Blanca,Menos rico,No,Sí,No,,Satisfecho(a),,,Una o dos veces al año,Una o dos veces al año,Nunca,,,,,No,,,Algo generalizada
2004,Pacífica,Urbano,Hombre,Mestiza,2,No,Sí,No,,Insatisfecho(a),,,Una o dos veces al mes,Nunca,Nunca,,No,,,,,,Muy generalizada
2004,Bogotá D.C.,Urbano,Hombre,Mestiza,Más rico,No,Sí,Sí,,Satisfecho(a),,,Nunca,Una o dos veces al año,Nunca,,,,,,,,Algo generalizada
2004,Pacífica,Urbano,Mujer,Blanca,Más rico,No,No,No,,Satisfecho(a),,,Nunca,Nunca,Nunca,,,,No,,,,Muy generalizada
2004,Orinoquía-Amazonía,Urbano,Mujer,Mestiza,Más rico,No,No,No,,Satisfecho(a),,,Nunca,Nunca,Nunca,,,,,No,,,Poco generalizada
2004,Andina,Urbano,Hombre,Indígena,3,Sí,Sí,No,,Satisfecho(a),,,Una vez a la semana,Nunca,Nunca,,No,,No,No,,,Algo generalizada
2004,Andina,Urbano,Hombre,Mestiza,Menos rico,No,No,No,,Insatisfecho(a),,,Una o dos veces al año,Nunca,Una o dos veces al año,,,,,,,,Muy generalizada
2004,Orinoquía-Amazonía,Urbano,Mujer,Mestiza,Menos rico,No,No,No,,Insatisfecho(a),,,Una vez a la semana,Nunca,Nunca,,,,No,No,,,Algo generalizada
2004,Andina,Urbano,Hombre,Mestiza,3,No,No,No,,Satisfecho(a),,,Una vez a la semana,Una o dos veces al año,Una vez a la semana,,No,,No,,,,Algo generalizada
2004,Orinoquía-Amazonía,Urbano,Mujer,Blanca,Más rico,Sí,Sí,Sí,,Insatisfecho(a),,,Una o dos veces al mes,Una o dos veces al año,Nunca,,,,,,,,Algo generalizada
2004,Bogotá D.C.,Urbano,Hombre,Blanca,Más rico,No,No,No,,Insatisfecho(a),,,Nunca,Nunca,Nunca,,,No,,,,,Muy generalizada
2004,Andina,Urbano,Hombre,Negra,3,No,Sí,No,,Satisfecho(a),,,Nunca,,Una o dos veces al mes,,No,,,,,,Algo generalizada
2004,Pacífica,Rural,Hombre,Blanca,2,No,No,No,,Muy insatisfecho(a),,,Una o dos veces al año,Una o dos veces al año,Una o dos veces al mes,,No,,No,No,,,Muy generalizada
2004,Bogotá D.C.,Urbano,Mujer,Mestiza,3,No,No,No,,Satisfecho(a),,,Una o dos veces al año,Nunca,Nunca,,,,No,No,,,Algo generalizada
2004,Orinoquía-Amazonía,Rural,Mujer,Mestiza,2,No,No,No,,Insatisfecho(a),,,Una o dos veces al mes,Nunca,Nunca,,,,No,,,,Muy generalizada
2004,Pacífica,Rural,Mujer,Mestiza,Menos rico,No,No,No,,Muy satisfecho(a),,,Una vez a la semana,Una o dos veces al año,Una o dos veces al año,,,No,No,No,,,Muy generalizada
2004,Orinoquía-Amazonía,Urbano,Mujer,Mestiza,3,No,No,No,,Insatisfecho(a),,,Una vez a la semana,Nunca,Nunca,,,,,,,,Muy generalizada
2004,Bogotá D.C.,Urbano,Hombre,Mestiza,Más rico,No,Sí,Sí,,Insatisfecho(a),,,Una vez a la semana,Nunca,Nunca,,,,,,,,Algo generalizada
2004,Andina,Rural,Hombre,Mestiza,Menos rico,No,Sí,No,,Satisfecho(a),,,Una vez a la semana,Una o dos veces al año,Nunca,,,,,,,,
2004,Bogotá D.C.,Urbano,Mujer,Blanca,Menos rico,Sí,Sí,No,,,,,Una o dos veces al mes,Nunca,Nunca,,No,No,No,No,,,Muy generalizada
2004,Andina,Urbano,Mujer,Mestiza,Más rico,No,No,No,,Insatisfecho(a),,,Nunca,Nunca,Nunca,,No,No,No,No,,,Poco generalizada
2004,Pacífica,Rural,Mujer,Mestiza,2,No,No,No,,Satisfecho(a),,,Nunca,Nunca,Una o dos veces al mes,,,,No,No,,,Algo generalizada
2004,Andina,Urbano,Hombre,Mestiza,3,Sí,Sí,No,,Satisfecho(a),,,Nunca,Nunca,Nunca,,,,,,,,
2004,Andina,Urbano,Mujer,Mestiza,4,No,Sí,Sí,,Satisfecho(a),,,Una vez a la semana,Una o dos veces al mes,Una vez a la semana,,No,No,,No,,,
2004,Caribe,Urbano,Hombre,Mestiza,Más rico,No,No,No,,Insatisfecho(a),,,Una o dos veces al año,Nunca,Nunca,,,,,,,,Muy generalizada
2004,Andina,Urbano,Mujer,Blanca,4,No,No,No,,Satisfecho(a),,,Nunca,Nunca,Nunca,,,,No,,,,Algo generalizada
2004,Pacífica,Rural,Hombre,Negra,2,No,No,No,,Satisfecho(a),,,Nunca,Una o dos veces al mes,Una o dos veces al mes,,No,,No,No,,,Poco generalizada
2004,Bogotá D.C.,Urbano,Mujer,Blanca,3,No,No,No,,Muy insatisfecho(a),,,Nunca,Nunca,Una vez a la semana,,,,Sí,,,,Algo generalizada
2004,Pacífica,Urbano,Mujer,Mestiza,3,No,No,No,,Insatisfecho(a),,,Nunca,Nunca,Nunca,,,,,,,,Poco generalizada
2004,Pacífica,Urbano,Hombre,Mestiza,4,No,No,No,,Satisfecho(a),,,Nunca,Nunca,Nunca,,No,,,No,,,Muy generalizada
2004,Orinoquía-Amazonía,Urbano,Mujer,Mestiza,3,No,No,No,,Satisfecho(a),,,Nunca,Nunca,Una o dos veces al año,,,No,No,No,,,Poco generalizada
2004,Andina,Rural,Mujer,Mestiza,2,No,No,No,,Satisfecho(a),,,Una o dos veces al año,Una o dos veces al año,Nunca,,,No,,,,,Muy generalizada
2004,Caribe,Urbano,Hombre,Mestiza,Menos rico,Sí,No,No,,Muy satisfecho(a),,,Una vez a la semana,Nunca,Nunca,,No,,No,No,,,Algo generalizada
2004,Andina,Urbano,Mujer,Mestiza,3,Sí,No,No,,Insatisfecho(a),,,Nunca,Nunca,Nunca,,,,,No,,,Nada generalizada
2004,Bogotá D.C.,Urbano,Hombre,Mestiza,4,No,No,No,,Satisfecho(a),,,Una o dos veces al mes,Nunca,Una o dos veces al año,,,No,,No,,,Algo generalizada
